Component Name,Version,Type,Licenses,Vulnerabilities,Source
"path-parse","1.0.7","library","Unknown","TBD",
"picocolors","1.1.1","library","Unknown","TBD",
"picomatch","2.3.1","library","Unknown","TBD",
"picomatch","4.0.3","library","Unknown","TBD",
"possible-typed-array-names","1.1.0","library","Unknown","TBD",
"postcss","8.4.31","library","Unknown","TBD",
"postcss","8.5.6","library","Unknown","TBD",
"prelude-ls","1.2.1","library","Unknown","TBD",
"prop-types","15.8.1","library","Unknown","TBD",
"punycode","2.3.1","library","Unknown","TBD",
"queue-microtask","1.2.3","library","Unknown","TBD",
"react","19.1.0","library","Unknown","TBD",
"react-dom","19.1.0","library","Unknown","TBD",
"react-is","16.13.1","library","Unknown","TBD",
"reflect.getprototypeof","1.0.10","library","Unknown","TBD",
"regexp.prototype.flags","1.5.4","library","Unknown","TBD",
"resolve","1.22.10","library","Unknown","TBD",
"resolve","2.0.0-next.5","library","Unknown","TBD",
"resolve-from","4.0.0","library","Unknown","TBD",
"resolve-pkg-maps","1.0.0","library","Unknown","TBD",
"reusify","1.1.0","library","Unknown","TBD",
"run-parallel","1.2.0","library","Unknown","TBD",
"safe-array-concat","1.1.3","library","Unknown","TBD",
"safe-push-apply","1.0.0","library","Unknown","TBD",
"safe-regex-test","1.1.0","library","Unknown","TBD",
"scheduler","0.26.0","library","Unknown","TBD",
"semver","6.3.1","library","Unknown","TBD",
"semver","7.7.2","library","Unknown","TBD",
"set-function-length","1.2.2","library","Unknown","TBD",
"set-function-name","2.0.2","library","Unknown","TBD",
"set-proto","1.0.0","library","Unknown","TBD",
"sharp","0.34.3","library","Unknown","TBD",
"shebang-command","2.0.0","library","Unknown","TBD",
"shebang-regex","3.0.0","library","Unknown","TBD",
"side-channel","1.1.0","library","Unknown","TBD",
"side-channel-list","1.0.0","library","Unknown","TBD",
"side-channel-map","1.0.1","library","Unknown","TBD",
"side-channel-weakmap","1.0.2","library","Unknown","TBD",
"simple-swizzle","0.2.2","library","Unknown","TBD",
"source-map-js","1.2.1","library","Unknown","TBD",
"stable-hash","0.0.5","library","Unknown","TBD",
"stop-iteration-iterator","1.1.0","library","Unknown","TBD",
"string.prototype.includes","2.0.1","library","Unknown","TBD",
"string.prototype.matchall","4.0.12","library","Unknown","TBD",
"string.prototype.repeat","1.0.0","library","Unknown","TBD",
"string.prototype.trim","1.2.10","library","Unknown","TBD",
"string.prototype.trimend","1.0.9","library","Unknown","TBD",
"string.prototype.trimstart","1.0.8","library","Unknown","TBD",
"strip-bom","3.0.0","library","Unknown","TBD",
"strip-json-comments","3.1.1","library","Unknown","TBD",
"styled-jsx","5.1.6","library","Unknown","TBD",
"supports-color","7.2.0","library","Unknown","TBD",
"supports-preserve-symlinks-flag","1.0.0","library","Unknown","TBD",
"tailwind-merge","3.3.1","library","Unknown","TBD",
"tailwindcss","4.1.12","library","Unknown","TBD",
"tailwindcss-animate","1.0.7","library","Unknown","TBD",
"tapable","2.2.3","library","Unknown","TBD",
"tar","7.4.3","library","Unknown","TBD",
"tinyglobby","0.2.14","library","Unknown","TBD",
"to-regex-range","5.0.1","library","Unknown","TBD",
"ts-api-utils","2.1.0","library","Unknown","TBD",
"tsconfig-paths","3.15.0","library","Unknown","TBD",
"tslib","2.8.1","library","Unknown","TBD",
"type-check","0.4.0","library","Unknown","TBD",
"typed-array-buffer","1.0.3","library","Unknown","TBD",
"typed-array-byte-length","1.0.3","library","Unknown","TBD",
"typed-array-byte-offset","1.0.4","library","Unknown","TBD",
"typed-array-length","1.0.7","library","Unknown","TBD",
"typescript","5.9.2","library","Unknown","TBD",
"unbox-primitive","1.1.0","library","Unknown","TBD",
"undici-types","6.21.0","library","Unknown","TBD",
"unrs-resolver","1.11.1","library","Unknown","TBD",
"uri-js","4.4.1","library","Unknown","TBD",
"which","2.0.2","library","Unknown","TBD",
"which-boxed-primitive","1.1.1","library","Unknown","TBD",
"which-builtin-type","1.2.1","library","Unknown","TBD",
"which-collection","1.0.2","library","Unknown","TBD",
"which-typed-array","1.1.19","library","Unknown","TBD",
"word-wrap","1.2.5","library","Unknown","TBD",
"yallist","5.0.0","library","Unknown","TBD",
"yocto-queue","0.1.0","library","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/fastq/.github/workflows/ci.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/reusify/.github/workflows/ci.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/string.prototype.includes/.github/workflows/node-aught.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/string.prototype.includes/.github/workflows/node-pretest.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/string.prototype.includes/.github/workflows/node-tens.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/string.prototype.includes/.github/workflows/publish-on-tag.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/string.prototype.includes/.github/workflows/rebase.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/node_modules/string.prototype.includes/.github/workflows/require-allow-edits.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/apps/frontend/pnpm-lock.yaml",,"file","Unknown","TBD",
"actions/checkout","v2","library","Unknown","TBD",
"actions/checkout","v2","library","Unknown","TBD",
"actions/checkout","v2","library","Unknown","TBD",
"actions/checkout","v2","library","Unknown","TBD",
"actions/setup-node","v1","library","Unknown","TBD",
"actions/setup-node","v1","library","Unknown","TBD",
"actions/setup-node","v1","library","Unknown","TBD",
"actions/setup-node","v1","library","Unknown","TBD",
"coverallsapp/github-action","master","library","Unknown","TBD",
"coverallsapp/github-action","master","library","Unknown","TBD",
"/Users/ivan/smm-architect/services/smm-architect/node_modules/ajv/node_modules/json-schema-traverse/.github/workflows/build.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/services/smm-architect/node_modules/ajv/node_modules/json-schema-traverse/.github/workflows/publish.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/services/smm-architect/node_modules/json-schema-traverse/.github/workflows/build.yml",,"file","Unknown","TBD",
"/Users/ivan/smm-architect/services/smm-architect/node_modules/json-schema-traverse/.github/workflows/publish.yml",,"file","Unknown","TBD",
